Compound.ID,Minimum.Degree,Molecular.Weight,Number.of.H.Bond.Donors,Number.of.Rings,Number.of.Rotatable.Bonds,Polar.Surface.Area,measured.log.solubility.in.mols.per.litre,solubility.above.or.below.median
Amigdalin,1,457.4320000000001,7,3,7,202.31999999999996,-0.77,1
Fenfuram,1,201.22500000000002,1,2,2,42.24,-3.3,0
citral,1,152.237,0,0,4,17.07,-2.06,1
Picene,2,278.354,0,5,0,0,-7.87,0
Thiophene,2,84.14299999999999,0,1,0,0,-1.33,1
benzothiazole,2,135.191,0,2,0,12.89,-1.5,1
"2,2,4,6,6'-PCB",1,326.437,0,2,1,0,-7.32,0
Estradiol,1,272.388,2,4,0,40.46,-5.03,0
Dieldrin,1,380.913,0,5,0,12.53,-6.29,0
Rotenone,1,394.42300000000023,0,5,3,63.22,-4.42,0
2-pyrrolidone,1,85.10600000000001,1,1,0,29.1,1.07,1
2-Chloronapthalene,1,162.61899999999997,0,2,0,0,-4.14,0
1-Pentene ,1,70.135,0,0,2,0,-2.68,1
Primidone,1,218.256,2,2,2,58.2,-2.64,1
Tetradecane,1,198.39399999999995,0,0,11,0,-7.96,0
2-Chloropropane,1,78.542,0,0,0,0,-1.41,1
2-Methylbutanol,1,88.14999999999999,1,0,2,20.23,-0.47,1
Benzonitrile,1,103.12399999999997,0,1,0,23.79,-1,1
Diazinon,1,304.35200000000003,0,1,7,53.47,-3.64,0
2-Undecanol,1,172.312,1,0,8,20.23,-2.94,0
"2,2',3,4,6-PCB",1,326.437,0,2,1,0,-7.43,0
Lenacil,1,234.29899999999995,1,3,1,54.86,-4.593999999999999,0
Phorate,1,260.38599999999997,0,0,8,18.46,-4.11,0
Phenacetin,1,179.219,1,1,3,38.33,-2.35,1
Dinitramine,1,322.243,1,1,5,115.54000000000002,-5.47,0
1-Heptanol,1,116.204,1,0,5,20.23,-1.81,1
Theophylline,1,180.16699999999997,1,2,0,72.68,-1.39,1
Butethal,1,212.249,2,1,4,75.27000000000001,-1.661,1
"P,P'-DDE",1,318.0300000000001,0,2,2,0,-6.9,0
Methyl octanoate,1,158.24099999999999,0,0,6,26.3,-3.17,0
"1,4-Diethylbenzene ",1,134.22199999999998,0,1,2,0,-3.75,0
Terbufos,1,288.44,0,0,7,18.46,-4.755,0
Phenmedipham,1,300.314,2,2,3,76.66,-4.805,0
"1,1-Dichloroethylene",1,96.94399999999999,0,0,0,0,-1.64,1
1-Methylfluorene,1,180.25000000000003,0,3,0,0,-5.22,0
Valeraldehyde,1,86.13399999999999,0,0,3,17.07,-0.85,1
Diphenylamine,2,169.227,1,2,2,12.03,-3.5039999999999996,0
Fenothiocarb,1,253.367,0,1,6,29.540000000000003,-3.927,0
Piperophos,1,353.4900000000001,0,1,9,38.77,-4.15,0
1-Iodoheptane,1,226.101,0,0,5,0,-4.81,0
3-Chlorobiphenyl,1,188.657,0,2,1,0,-4.88,0
4-Pentene-1-ol,1,86.134,1,0,3,20.23,-0.15,1
Cyclobutyl-5-spirobarbituric acid,1,168.15200000000002,2,2,0,75.27,-1.655,1
menthol,1,156.269,1,1,1,20.23,-2.53,1
Isopropyl formate,1,88.106,0,0,2,26.3,-0.63,1
2-Heptanol ,1,116.20399999999998,1,0,4,20.23,-1.55,1
p-Bromoacetanilide,1,214.06199999999998,1,1,1,29.1,-3.083,0
brompyrazone,1,266.098,1,2,1,60.910000000000004,-3.127,0
nifedipine,1,346.33900000000017,1,2,4,107.77,-4.76,0
"2,7-dimethylquinoline",1,157.216,0,2,0,12.89,-1.94,1
1-Octyne ,1,110.19999999999999,0,0,4,0,-3.66,0
cyclobarbital,1,236.27099999999993,2,2,2,75.27000000000001,-2.17,1
Chrysene,2,228.29399999999998,0,4,0,0,-8.057,0
Bromacil,1,261.11899999999997,1,1,2,54.86,-2.523,1
"2,2',3,3',5,6-PCB",1,360.88200000000006,0,2,1,0,-8.6,0
2-Methylphenol,1,108.13999999999999,1,1,0,20.23,-0.62,1
"2,2,5-Trimethylhexane",1,128.259,0,0,2,0,-5.05,0
"1,4-Dimethylnaphthalene ",1,156.228,0,2,0,0,-4.14,0
6-Methylchrysene,1,242.321,0,4,0,0,-6.57,0
2-Pentanone,1,86.13399999999999,0,0,2,17.07,-0.19,1
"2,2',3,3',5,5',6,6'-PCB",1,429.77200000000016,0,2,1,0,-9.15,0
Methyl butyrate,1,116.15999999999998,0,0,3,26.3,-0.82,1
Triamcinolone,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,0
p-Aminophenol,1,109.12799999999999,2,1,0,46.25,-0.8,1
Benznidazole,1,260.253,1,2,5,90.06,-2.81,1
"Atovaquone(0,430mg/ml) - neutral",1,366.84400000000016,1,4,2,54.37,-5.931,0
Trietazine,1,229.71499999999997,1,1,5,53.940000000000005,-4.06,0
Pyrazinamide,1,123.11499999999998,1,1,1,68.87,-0.667,1
Carbromal,1,237.09699999999998,2,0,3,72.19,-2.68,1
"2,2'-PCB",1,223.102,0,2,1,0,-5.27,0
nitrofurantoin,1,238.15899999999996,1,2,3,118.04999999999998,-3.38,0
Nitrofen,1,284.09799999999996,0,2,3,52.37,-5.46,0
Camphor,1,152.237,0,2,0,17.07,-1.96,1
5-Allyl-5-phenylbarbital,1,244.25,2,2,3,75.27000000000001,-2.369,1
Pentyl propanoate,1,130.18699999999998,0,0,4,26.3,-2.25,1
Isopentyl acetate,1,130.18699999999998,0,0,3,26.3,-1.92,1
3-Hexanoyloxymethylphenyltoin,1,380.444,1,3,8,75.71,-5.886,0
"2,3',5-PCB",1,257.547,0,2,1,0,-6.01,0
1-Bromopropane,1,122.993,0,0,1,0,-1.73,1
Propiconazole,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,0
Formothion,1,257.27299999999997,0,0,6,55.84,-1.995,1
4-methylpteridine,1,146.15299999999996,0,2,0,51.56,-0.466,1
Thiourea,1,76.12400000000001,2,0,0,52.04,0.32,1
p-Xylene ,1,106.16799999999999,0,1,0,0,-2.77,1
"1,2-Diethylbenzene",1,134.22199999999998,0,1,2,0,-3.28,0
Hexachloroethane,1,236.74,0,0,0,0,-3.67,0
Flucythrinate,1,451.46900000000005,0,3,9,68.55000000000001,-6.876,0
1-Nitropropane,1,89.09399999999998,0,0,2,43.14,-0.8,1
Menthone,1,154.253,0,1,1,17.07,-2.35,1
RTI 24,1,273.723,1,3,1,45.230000000000004,-5.36,0
"2,3-Dichloronitrobenzene",1,192.00100000000003,0,1,1,43.14,-3.48,0
thiamylal,1,254.35500000000002,2,1,5,58.2,-3.46,0
Fluoranthene,2,202.25599999999997,0,4,0,0,-6,0
Propylisopropylether,1,102.17699999999998,0,0,3,9.23,-1.34,1
"1,3-Dimethylnaphthalene",1,156.22799999999998,0,2,0,0,-4.29,0
diethylstilbestrol,1,268.356,2,2,4,40.46,-4.07,0
Chlorothalonil,1,265.914,0,1,0,47.58,-5.64,0
"2,3',4',5-PCB",1,291.992,0,2,1,0,-7.25,0
styrene oxide,2,120.15099999999995,0,2,1,12.53,-1.6,1
Isopropylbenzene ,1,120.19499999999995,0,1,1,0,-3.27,0
Deoxycorticosterone,1,330.4680000000001,1,4,2,54.370000000000005,-3.45,0
chlorquinox,1,267.93,0,2,0,25.78,-5.43,0
L-arabinose,1,150.13,4,1,0,90.15,0.39,1
Dichloromethane,1,84.93299999999999,0,0,0,0,-0.63,1
1-Ethylnaphthalene ,1,156.22799999999998,0,2,1,0,-4.17,0
Methyl formate,1,60.05200000000001,0,0,1,26.3,0.58,1
o-Nitrophenol,1,139.10999999999999,1,1,1,63.37,-1.74,1
thymine,1,126.115,2,1,0,65.72,-1.506,1
2-Methylpropane,1,58.123999999999995,0,0,0,0,-2.55,1
Inosine,1,268.22900000000004,4,3,2,133.75,-1.23,1
Ioxynil,1,370.91499999999996,1,1,0,44.019999999999996,-3.61,0
Niclosamide,1,327.1230000000001,2,2,3,92.47,-4.7,0
Pentane,1,72.151,0,0,2,0,-3.18,0
Phenol,1,94.11299999999999,1,1,0,20.23,0,1
2-aminoanthracene,1,193.249,1,3,0,26.02,-5.17,0
theobromine,1,180.16699999999997,1,2,0,72.68,-2.523,1
Isoquinoline,2,129.16199999999998,0,2,0,12.89,-1.45,1
Anilofos,1,367.86,0,1,7,38.77,-4.4319999999999995,0
Hexylbenzene ,1,162.276,0,1,5,0,-5.21,0
2-Chlorobiphenyl,1,188.657,0,2,1,0,-4.54,0
2-Methyl-1-Pentene,1,84.16199999999999,0,0,2,0,-3.03,0
"2,3,4-Trimethylpentane",1,114.23199999999999,0,0,2,0,-4.8,0
Pentachlorobenzene,1,250.339,0,1,0,0,-5.65,0
m-Nitrophenol,1,139.10999999999999,1,1,1,63.37,-1.01,1
1-Decene,1,140.26999999999998,0,0,7,0,-5.51,0
Glyceryl triacetate,1,218.20499999999998,0,0,5,78.9,-0.6,1
dimethirimol,1,209.29299999999998,1,1,4,49.25000000000001,-2.24,1
Cyfluthrin,1,434.29400000000015,0,3,6,59.32000000000001,-7.337000000000001,0
Pyridine,2,79.10199999999998,0,1,0,12.89,0.76,1
1-Bromoheptane,1,179.101,0,0,5,0,-4.43,0
"3,4-Dimethylpyridine",1,107.15599999999999,0,1,0,12.89,0.36,1
Fludrocortisone,1,380.45600000000013,3,4,2,94.83,-3.43,0
ethiofencarb,1,225.313,1,1,4,38.33,-2.09,1
Malonic acid diethylester,1,160.16899999999998,0,0,4,52.60000000000001,-0.82,1
d-Limonene,1,136.238,0,1,1,0,-4.26,0
Indan,2,118.17899999999997,0,2,0,0,-3.04,0
p-t-Butylphenol,1,150.22099999999998,1,1,0,20.23,-2.41,1
Cyclopropyl-5-spirobarbituric acid,1,154.125,2,2,0,75.27,-1.886,1
m-Chloroiodobenzene,1,238.45499999999998,0,1,0,0,-3.55,0
1-Bromonapthalene,1,207.07,0,2,0,0,-4.35,0
trans-2-Pentene ,1,70.135,0,0,1,0,-2.54,1
"2,6-Dimethylpyridine",1,107.156,0,1,0,12.89,0.45,1
Trichloroethylene,1,131.389,0,0,0,0,-1.96,1
1-Napthylamine,1,143.189,1,2,0,26.02,-1.92,1
m-Xylene ,1,106.16799999999999,0,1,0,0,-2.82,1
2-hydroxypteridine,1,148.125,1,2,0,71.79,-1.9469999999999998,1
Methanol,1,32.042,1,0,0,20.23,1.57,1
Amobarbital,1,226.27599999999998,2,1,4,75.27000000000001,-2.468,1
2-Butanone,1,72.107,0,0,1,17.07,0.52,1
5-fluorouracil,1,130.078,2,1,0,65.72,-1.077,1
tubercidin,1,266.257,4,3,2,126.65,-1.95,1
"1,3-Benzenediol",1,110.11199999999998,2,1,0,40.46,0.81,1
1-Hexanol,1,102.17699999999999,1,0,4,20.23,-1.24,1
1-Chloropentane,1,106.596,0,0,3,0,-2.73,1
"1,3-Butadiene",1,54.09199999999999,0,0,1,0,-1.87,1
Propyl acetate,1,102.13299999999998,0,0,2,26.3,-0.72,1
"5,6,7,8-tetrahydro-2-naphthol",1,148.205,1,2,0,20.23,-1.99,1
chloroacetamide,1,93.513,1,0,1,43.09,-0.02,1
Iodofenphos,1,413,0,1,4,27.69,-6.62,0
4-Chlorotoluene,1,126.586,0,1,0,0,-3.08,0
Metribuzin,1,214.29399999999998,1,1,1,73.8,-2.253,1
Tricresyl phosphate,1,368.3690000000001,0,3,6,44.760000000000005,-6.01,0
Caproaldehyde,1,100.16099999999999,0,0,4,17.07,-1.3,1
Butamben,1,193.24599999999998,1,1,4,52.32,-3.082,0
RTI 3,1,255.277,1,3,0,68.45,-3.043,0
Nerol,1,154.253,1,0,4,20.23,-2.46,1
"2,4'-PCB",1,223.102,0,2,1,0,-5.28,0
3-Octanoyloxymethylphenytoin,1,408.498,1,3,10,75.71,-6.523,0
Nitroethane,1,75.067,0,0,1,43.14,-0.22,1
Ethalfluralin,1,333.266,0,1,6,89.51999999999998,-6.124,0
"1,2,3,4-Tetrachlorobenzene",1,215.894,0,1,0,0,-4.57,0
Meprobamate,1,218.25299999999996,2,0,6,104.63999999999999,-1.807,1
pregnenolone,1,316.48500000000007,1,4,1,37.3,-4.65,0
Iodomethane,1,141.939,0,0,0,0,-1,1
cycloheximide,1,281.35200000000003,2,2,3,83.47,-1.13,1
3-Heptanoyloxymethylphenytoin,1,394.471,1,3,9,75.71,-6.301,0
isophorone,1,138.20999999999998,0,1,0,17.07,-1.06,1
Butabarbital,1,212.24899999999997,2,1,3,75.27000000000001,-2.39,1
5-Nonanone,1,142.242,0,0,6,17.07,-2.58,1
Glutethimide,1,217.268,1,2,2,46.17,-2.3369999999999997,1
3-Methylpentane,1,86.178,0,0,2,0,-3.68,0
Etofenprox,1,376.49600000000004,0,3,9,27.69,-8.6,0
Methaqualone,1,250.30100000000002,0,3,1,34.89,-2.925,0
Chloroacetonitrile,1,75.498,0,0,0,23.79,-0.092,1
Trichloronate,1,333.60400000000004,0,1,5,18.46,-5.752000000000001,0
Ethisterone,1,312.45300000000003,1,4,0,37.3,-5.66,0
Pyridazine,2,80.08999999999999,0,1,0,25.78,1.1,1
"1,2,3,5-Tetrachlorobenzene",1,215.894,0,1,0,0,-4.63,0
Diosgenin,1,414.63000000000017,1,6,0,38.69,-7.32,0
o-Aminophenol,1,109.12799999999999,2,1,0,46.25,-0.72,1
Ethyl nonanoate,1,186.295,0,0,8,26.3,-3.8,0
metalaxyl,1,279.336,0,1,5,55.84,-1.601,1
Propoxur,1,209.24499999999998,1,1,3,47.56,-2.05,1
2-Chlorobutane,1,92.569,0,0,1,0,-1.96,1
2-Napthol,1,144.17299999999997,1,2,0,20.23,-2.28,1
Oxadiazon,1,345.22600000000017,0,2,3,57.26,-5.696000000000001,0
1-Hexyne ,1,82.14599999999999,0,0,2,0,-2.36,1
1-Nonyne ,1,124.22699999999999,0,0,5,0,-4.24,0
2-Chlorotoluene,1,126.586,0,1,0,0,-3.52,0
Diisopropyl ether ,1,102.17699999999999,0,0,2,9.23,-1.1,1
Dapsone,1,248.307,2,2,2,86.18,-3.094,0
Methyl hydrazine,1,46.073,2,0,0,38.05,1.34,1
Propyne,1,40.065000000000005,0,0,0,0,-0.41,1
Phoxim,1,298.304,0,1,7,63.839999999999996,-4.862,0
Propetamphos,1,281.314,1,0,7,56.790000000000006,-3.408,0
Acrolein,1,56.064,0,0,1,17.07,0.57,1
Hypoxanthine,1,136.114,2,2,0,74.43,-2.296,1
6-hydroxyquinoline,1,145.161,1,2,0,33.120000000000005,-2.16,1
Fluorobenzene,1,96.103999999999985,0,1,0,0,-1.8,1
1-Chloropropane,1,78.542,0,0,1,0,-1.47,1
Ethyl acetate,1,88.106,0,0,1,26.3,-0.04,1
"2,2-Dimethylpentane",1,100.20499999999998,0,0,1,0,-4.36,0
Pentamethylbenzene,1,148.249,0,1,0,0,-4,0
eucalyptol,1,154.253,0,3,0,9.23,-1.64,1
dibutyl sebacate,1,314.46600000000007,0,0,15,52.60000000000001,-3.8960000000000004,0
"4,4'-PCB",1,223.102,0,2,1,0,-6.56,0
"2,3-Dimethylpyridine",1,107.156,0,1,0,12.89,0.38,1
Carvone,1,150.22099999999998,0,1,1,17.07,-2.06,1
Carbophenthion,1,342.875,0,1,8,18.46,-5.736000000000001,0
"Etoposide (148-167,25mg/ml)",1,588.5620000000001,3,7,5,160.83,-3.571,0
Perylene,2,252.31599999999997,0,5,0,0,-8.804,0
"2,4-Dinitrotoluene",1,182.135,0,1,2,86.28,-2.82,1
2-bromonaphthalene,1,207.07000000000002,0,2,0,0,-4.4,0
Formetanate,1,221.26,1,1,3,53.93,-2.34,1
6-methoxypteridine,1,162.15200000000002,0,2,1,60.790000000000006,-1.139,1
nevirapine,1,266.30400000000003,1,4,1,58.120000000000005,-3.19,0
Isazofos,1,313.747,0,1,7,58.4,-3.658,0
"2-Methyl-1,3-Butadiene ",1,68.11900000000001,0,0,1,0,-2.03,1
linalool,1,154.253,1,0,4,20.23,-1.99,1
Fenthion,1,278.335,0,1,5,27.69,-4.57,0
Cyclohexanol ,1,100.161,1,1,0,20.23,-0.44,1
5-Allyl-5-methylbarbital,1,182.17899999999997,2,1,2,75.27000000000001,-1.16,1
Epiandrosterone,1,290.447,1,4,0,37.3,-4.16,0
mannitol,1,182.172,6,0,5,121.38000000000001,0.06,1
4-Methylbiphenyl,1,168.239,0,2,1,0,-4.62,0
Atrazine,1,215.68800000000002,2,1,4,62.730000000000004,-3.85,0
Phenylthiourea,1,152.22199999999998,2,1,1,38.05,-1.77,1
4-Heptanone,1,114.18799999999999,0,0,4,17.07,-1.3,1
"3,3-Dimethyl-2-butanone",1,100.16099999999999,0,0,0,17.07,-0.72,1
4-Chlorophenol ,1,128.558,1,1,0,20.23,-0.7,1
Cyclohexanone,1,98.14500000000001,0,1,0,17.07,-0.6,1
m-Methylaniline,1,107.156,1,1,0,26.02,-0.85,1
Trichloroacetonitrile,1,144.388,0,0,0,23.79,-2.168,1
norflurazon,1,303.67100000000005,1,2,2,46.92,-4.046,0
2-Decanone,1,156.269,0,0,7,17.07,-3.3,0
Ipazine,1,243.74200000000002,1,1,5,53.940000000000005,-3.785,0
Benzocaine,1,165.19199999999998,1,1,2,52.32,-2.616,1
"1,2,4-Trichlorobenzene",1,181.449,0,1,0,0,-3.59,0
Triazolam,1,343.2170000000001,0,4,1,43.07,-4.09,0
"1,2-Benzenediol",1,110.11199999999998,2,1,0,40.46,0.62,1
Reverse Transcriptase inhibitor 1,1,254.29299999999998,0,3,1,49.330000000000005,-2.62,1
Dimethyl sulfide,1,62.137,0,0,0,0,-0.45,1
2-Bromotoluene,1,171.03699999999998,0,1,0,0,-2.23,1
O-Ethyl carbamate,1,89.09400000000001,1,0,1,52.32,0.85,1
megestrol acetate,1,384.5160000000002,0,4,2,60.440000000000005,-5.35,0
"2,4-Dimethyl-3-pentanol",1,116.20399999999998,1,0,2,20.23,-1.22,1
Napthalene,2,128.17399999999995,0,2,0,0,-3.6,0
N-Ethylaniline,1,121.18299999999995,1,1,2,12.03,-1.7,1
Phenytoin,1,252.27300000000002,2,3,2,58.2,-4.0969999999999995,0
"7,12-Dimethylbenz(a)anthracene",1,256.348,0,4,0,0,-7.02,0
Dialifor,1,393.85400000000016,0,2,8,55.84,-6.34,0
Methoxychlor,1,345.6529999999999,0,2,4,18.46,-6.89,0
TEFLUBENZURON,1,381.1120000000001,2,2,2,58.2,-7.28,0
3-Pentanoyloxymethylphenytoin,1,366.41700000000003,1,3,7,75.71,-4.678,0
Monuron,1,198.653,1,1,1,32.34,-2.89,0
Flutriafol,1,301.296,1,3,4,50.94,-3.37,0
triamcinolone diacetate,1,478.51300000000026,2,4,4,127.20000000000002,-4.13,0
1-Bromobutane,1,137.01999999999998,0,0,2,0,-2.37,1
"1,2,4,5-Tetrabromobenzene",1,393.69800000000004,0,1,0,0,-6.98,0
4-Methyl-2-pentanone,1,100.16099999999999,0,0,2,17.07,-0.74,1
cycloate,1,215.36199999999994,0,1,3,20.310000000000002,-3.4,0
4-Chloroanisole,1,142.585,0,1,1,9.23,-2.78,1
Deltamethrin,1,505.20600000000024,0,3,6,59.32000000000001,-8.402000000000001,0
Talbutal,1,224.26,2,1,4,75.27000000000001,-2.016,1
Fenitrothion,1,277.238,0,1,5,70.83000000000001,-4.04,0
1-Iodonapthalene,1,254.07000000000002,0,2,0,0,-4.55,0
Sorbitol,1,182.172,6,0,5,121.38000000000001,1.09,1
Ethanethiol,1,62.137,1,0,0,0,-0.6,1
"1,1,2-Trichloroethane",1,133.405,0,0,1,0,-1.48,1
Pyrolan,1,245.282,0,2,2,47.36000000000001,-2.09,1
o-Hydroxybenzamide,1,137.13799999999998,2,1,1,63.32000000000001,-1.82,1
o-Nitrotoluene,1,137.138,0,1,1,43.14,-2.33,1
"5,5-Diisopropylbarbital",1,212.249,2,1,2,75.27000000000001,-2.766,1
2-Ethyltoluene,1,120.19499999999996,0,1,1,0,-3.21,0
1-Chloroheptane,1,134.65,0,0,5,0,-4,0
Barbital,1,184.19499999999996,2,1,2,75.27000000000001,-2.4,1
Bibenzyl ,2,182.266,0,2,3,0,-4.62,0
"1,1,2,2-Tetrachloroethane",1,167.85,0,0,1,0,-1.74,1
RTI 23,1,283.331,1,3,2,54.46,-5.153,0
2-Methylphenanthrene,1,192.261,0,3,0,0,-5.84,0
dibutylphthalate,1,278.348,0,1,8,52.60000000000001,-4.4,0
tetrachloroguaiacol,1,261.919,1,1,1,29.46,-4.02,0
Dimecron,1,299.6909999999999,0,0,8,65.07000000000001,0.523,1
Equilin,1,268.356,1,4,0,37.3,-5.282,0
Chlorimuron-ethyl (ph 7),1,414.82700000000017,1,2,8,127.79,-4.5760000000000005,0
p-Nitroanisole,1,153.13699999999997,0,1,2,52.37,-2.41,1
1-Chlorohexane,1,120.623,0,0,4,0,-3.12,0
"2,2',3,3',4,4',5,5'-PCB",1,429.77200000000016,0,2,1,0,-9.16,0
Raffinose,1,504.43800000000005,11,3,8,268.67999999999995,-0.41,1
hexacosane,1,366.7180000000002,0,0,23,0,-8.334,0
RTI 5,1,253.30499999999995,0,3,1,36.44,-3.324,0
"1,1-Dichloroethane",1,98.96000000000001,0,0,0,0,-1.29,1
Sulfanilamide,1,172.20899999999997,2,1,1,86.18,-1.34,1
Isopropalin,1,309.36600000000004,0,1,8,89.51999999999998,-6.49,0
Lindane,1,290.832,0,1,0,0,-4.64,0
Isofenphos,1,345.4010000000002,1,1,8,56.790000000000006,-4.194,0
"1,2,3-Trichlorobenzene",1,181.44899999999998,0,1,0,0,-4,0
Tetrachloromethane,1,153.823,0,0,0,0,-2.31,1
"3,4-Dichloronitrobenzene",1,192.001,0,1,1,43.14,-3.2,0
Cyclooctanol,1,128.215,1,1,0,20.23,-1.29,1
17a-Methyltestosterone,1,302.4580000000001,1,4,0,37.3,-3.9989999999999997,0
Dulcin,1,180.20699999999997,2,1,3,64.35,-2.17,1
"trans-1,4-Dimethylcyclohexane",1,112.216,0,1,0,0,-4.47,0
"1,7-phenantroline",2,180.20999999999998,0,3,0,25.78,-2.68,1
Methyl t-butyl ether ,1,88.14999999999999,0,0,0,9.23,-0.24,1
Anethole,1,148.20499999999998,0,1,2,9.23,-3.13,0
1-Hexadecanol,1,242.44699999999992,1,0,14,20.23,-7,0
uracil,1,112.088,2,1,0,65.72,-1.4880000000000002,1
adenine,1,135.13,2,2,0,80.47999999999999,-2.12,1
"2,2',3,4,5-PCB",1,326.437,0,2,1,0,-7.21,0
Ancymidol,1,256.30499999999995,1,3,4,55.24,-2.596,1
Benzo(b)fluoranthene,2,252.31599999999997,0,5,0,0,-8.23,0
Carbanilide,1,212.25199999999998,2,2,2,41.13,-3.15,0
phenobarbital,1,232.239,2,2,2,75.27000000000001,-2.322,1
"2',3,4-PCB",1,257.547,0,2,1,0,-6.29,0
Isoproturon,1,206.289,1,1,2,32.34,-3.536,0
Azintamide,1,259.762,0,1,5,46.09,-1.716,1
"2,2-Dimethyl-1-butanol",1,102.17699999999998,1,0,2,20.23,-1.04,1
Ethyl pentanoate,1,130.18699999999998,0,0,4,26.3,-1.75,1
"2,4,6-Trinitrotoluene",1,227.13199999999998,0,1,3,129.42000000000002,-3.22,0
Bensulide,1,397.52400000000006,1,1,10,64.63,-4.2,0
Cycloheptane,2,98.18900000000001,0,1,0,0,-3.51,0
Propyl formate,1,88.10599999999998,0,0,3,26.3,-0.49,1
2-Isopropyltoluene,1,134.22199999999995,0,1,1,0,-3.76,0
m-Chloroaniline,1,127.574,1,1,0,26.02,-1.37,1
"2,4-Dimethylpentane",1,100.20499999999998,0,0,2,0,-4.26,0
Dibenzofurane,2,168.195,0,3,0,13.14,-4.6,0
ethofumesate,1,286.34900000000005,0,2,4,61.830000000000005,-3.42,0
Fluometuron,1,232.20499999999996,1,1,1,32.34,-3.43,0
Acridine,2,179.22199999999998,0,3,0,12.89,-3.67,0
Cortisone,1,360.45000000000016,2,4,2,91.67,-3.11,0
glucose,1,180.156,5,1,1,110.38000000000001,0.74,1
3-Methylphenol,1,108.13999999999999,1,1,0,20.23,-0.68,1
Indapamide,1,365.84200000000004,2,3,3,92.5,-3.5860000000000003,0
Lovastatin,1,404.54700000000025,1,3,6,72.83,-6.005,0
"1,4-Dinitrobenzene",1,168.10799999999995,0,1,2,86.28,-3.39,0
Reposal,1,262.30899999999997,2,3,2,75.27000000000001,-2.696,1
Ethyl decanoate,1,200.32199999999997,0,0,9,26.3,-4.1,0
Fenuron,1,164.208,1,1,1,32.34,-1.6,1
Ethyl propyl ether,1,88.14999999999999,0,0,3,9.23,-0.66,1
2-Propanol,1,60.096000000000004,1,0,0,20.23,0.43,1
2-Methylnapthalene,1,142.201,0,2,0,0,-3.77,0
Chlorodibromethane,1,208.28,0,0,0,0,-1.9,1
Hexestrol,1,270.372,2,2,5,40.46,-4.43,0
Malathion,1,330.3640000000001,0,0,9,71.06,-3.37,0
Benzylchloride,1,126.58599999999996,0,1,1,0,-2.39,1
t-Crotonaldehyde,1,70.09100000000001,0,0,1,17.07,0.32,1
Chlorbromuron,1,293.548,1,1,2,41.57,-3.924,0
"9,10-Dimethylanthracene",1,206.28799999999998,0,3,0,0,-6.57,0
Methyl hexanoate,1,130.18699999999998,0,0,4,26.3,-1.87,1
Dimefuron,1,338.79500000000013,1,2,2,80.37,-4.328,0
p-Fluoroacetanilide,1,153.156,1,1,1,29.1,-1.78,1
alachlor,1,269.77199999999993,0,1,6,29.54,-3.26,0
Cyclohexene,2,82.146,0,1,0,0,-2.59,1
Hydrocortisone ,1,362.4660000000002,3,4,2,94.83,-3.09,0
Pyrimidine,2,80.08999999999999,0,1,0,25.78,1.1,1
p-Chloronitrobenzene,1,157.55599999999998,0,1,1,43.14,-2.92,0
Methyl propionate,1,88.106,0,0,1,26.3,-0.14,1
o-Chloronitrobenzene,1,157.55599999999998,0,1,1,43.14,-2.55,1
Neburon,1,275.179,1,1,4,32.34,-4.77,0
Buthidazole,1,256.33099999999996,1,2,1,69.56,-1.8769999999999998,1
Nitrobenzene,1,123.11099999999996,0,1,1,43.14,-1.8,1
Iodobenzene,1,204.01000000000002,0,1,0,0,-3.01,0
Metolazone,1,365.8420000000001,2,3,2,92.5,-3.78,0
Methocarbamol,1,241.24299999999994,2,1,6,91.00999999999999,-0.985,1
butachlor,1,311.85300000000007,0,1,9,29.54,-4.19,0
"2,3-Dichlorophenol",1,163.003,1,1,0,20.23,-1.3,1
Propyl butyrate,1,102.13299999999998,0,0,2,26.3,-1.92,1
Propanil,1,218.08299999999997,1,1,2,29.1,-3,0
