Compound.ID,Minimum.Degree,Molecular.Weight,Number.of.H.Bond.Donors,Number.of.Rings,Number.of.Rotatable.Bonds,Polar.Surface.Area,measured.log.solubility.in.mols.per.litre,solubility.above.or.below.median
Triamterene,1,253.26900000000003,3,3,1,129.62,-2.404,1
Ethyl hexanoate,1,144.21399999999997,0,0,5,26.3,-2.35,1
chloralose,1,309.529,3,2,2,88.38000000000001,-1.84,1
Amitraz,1,293.41400000000004,0,2,4,27.96,-5.47,0
Prometon,1,225.296,2,1,5,71.96000000000001,-2.478,1
1-Octene ,1,112.216,0,0,5,0,-4.44,0
p-Methylaniline ,1,107.156,1,1,0,26.02,-1.21,1
aminothiazole,1,100.14599999999999,1,1,0,38.91,-0.36,1
Metolcarb,1,151.165,1,1,1,38.33,-1.8030000000000002,1
3-Hexanol,1,102.17699999999999,1,0,3,20.23,-0.8,1
9-anthrol,1,194.23299999999998,1,3,0,20.23,-4.73,0
2-Methylanthracene,1,192.261,0,3,0,0,-6.96,0
"1,2,3-Trimethylbenzene ",1,120.195,0,1,0,0,-3.2,0
Aminocarb,1,208.26099999999997,1,1,2,41.57,-2.36,1
2-Nonanol,1,144.258,1,0,6,20.23,-2.74,1
Methyldymron,1,268.36,1,2,3,32.34,-3.35,0
3-Hexanone,1,100.16099999999999,0,0,3,17.07,-0.83,1
bromoxynil,1,276.91499999999996,1,1,0,44.019999999999996,-3.33,0
"3,4-PCB",1,223.102,0,2,1,0,-6.39,0
Mefenacet,1,298.367,0,3,4,42.43000000000001,-4.873,0
5-hydroxyquinoline,1,145.161,1,2,0,33.120000000000005,-2.54,1
Carboxin,1,235.30800000000002,1,2,2,38.33,-3.14,0
Ethoxyzolamide,1,258.324,1,2,3,82.28,-3.81,0
Pentachlorophenol,1,266.33799999999997,1,1,0,20.23,-4.28,0
Bromochloromethane,1,129.384,0,0,0,0,-0.89,1
metharbital,1,198.22199999999998,1,1,2,66.48,-2.23,1
deoxycorticosterone acetate,1,372.5050000000002,0,4,3,60.440000000000005,-4.63,0
benzylurea,1,150.18099999999998,2,1,2,55.120000000000005,-0.95,1
Chlortoluron,1,212.67999999999998,1,1,1,32.34,-3.483,0
Linuron,1,249.09699999999998,1,1,2,41.57,-3.592,0
Cycloheptanol,1,114.188,1,1,0,20.23,-0.88,1
Thiamphenicol,1,356.2270000000001,3,1,6,103.70000000000002,-2.154,1
thiopental,1,242.34400000000002,2,1,4,58.2,-3.36,0
acetazolamide,1,222.251,2,1,2,115.03999999999999,-2.36,1
p-Nitrophenol,1,139.10999999999999,1,1,1,63.37,-0.74,1
Aldrin,1,364.914,0,4,0,0,-6.307,0
Tetrahydrofurane ,2,72.107,0,1,0,9.23,0.49,1
o-Nitroaniline,1,138.126,1,1,1,69.16,-1.96,1
"2,2',3,3'-PCB",1,291.99199999999996,0,2,1,0,-7.28,0
phenylbutazone,1,308.38100000000003,0,3,5,40.620000000000005,-3.81,0
"2,6-Dinitrotoluene",1,182.135,0,1,2,86.28,-3,0
Progesterone,1,314.46900000000005,0,4,1,34.14,-4.42,0
Chlorazine,1,257.76899999999995,0,1,6,45.150000000000006,-4.4110000000000005,0
captafol,1,349.06600000000014,0,2,3,37.38,-5.4,0
"1,2,4-tribromobenzene",1,314.802,0,1,0,0,-4.5,0
Oxazepam,1,286.718,2,3,1,61.690000000000005,-3.952,0
Secobarbital,1,238.28699999999995,2,1,5,75.27000000000001,-2.356,1
Carvacrol,1,150.22099999999998,1,1,1,20.23,-2.08,1
rhodanine,1,133.197,1,1,0,29.1,-1.77,1
Morin,1,302.23800000000006,5,3,1,131.35999999999999,-3.083,0
Kepone,1,490.6390000000001,0,6,0,17.07,-5.2589999999999995,0
Disulfiram,1,296.5520000000001,0,0,4,6.48,-4.86,0
Cyclohexane,2,84.162,0,1,0,0,-3.1,0
Dienochlor,1,474.64,0,2,1,0,-7.278,0
chlordimeform,1,196.68099999999998,0,1,2,15.6,-2.86,0
Equilenin,1,266.34,1,4,0,37.3,-5.24,0
1-Octanol,1,130.23100000000002,1,0,6,20.23,-2.39,1
Diethyl sulfide,1,90.191,0,0,2,0,-1.34,1
"1,2-Dichloroethane",1,98.96000000000001,0,0,1,0,-1.06,1
2-Chloro-2-methylbutane,1,106.59599999999999,0,0,1,0,-2.51,1
1-Chloro-2-bromoethane,1,143.411,0,0,1,0,-1.32,1
p-Nitroaniline,1,138.126,1,1,1,69.16,-2.37,1
Lactose,1,342.297,8,2,4,189.52999999999997,-0.244,1
RTI 2,1,268.32,0,3,2,49.330000000000005,-2.86,0
Chlorobenzene,1,112.55899999999997,0,1,0,0,-2.38,1
1-Nonene ,1,126.243,0,0,6,0,-5.05,0
p-Bromoiodobenzene,1,282.90599999999995,0,1,0,0,-4.56,0
3-Methyl-3-pentanol,1,102.17699999999998,1,0,2,20.23,-0.36,1
Pentylbenzene,1,148.249,0,1,4,0,-4.64,0
allantoin,1,158.117,4,1,1,113.32,-1.6,1
Glafenine,1,372.80800000000016,3,3,6,91.67999999999999,-4.571000000000001,0
DDD,1,320.04600000000005,0,2,3,0,-7.2,0
testosterone acetate,1,330.4680000000001,0,4,1,43.370000000000005,-5.184,0
1-Chloronapthalene,1,162.61899999999997,0,2,0,0,-3.93,0
RTI 19,1,252.31699999999995,0,3,1,23.55,-4.749,0
2-Hexanol,1,102.17699999999998,1,0,3,20.23,-0.89,1
Propylcyclopentane,1,112.21600000000001,0,1,2,0,-4.74,0
Etomidate,1,244.294,0,2,4,44.12,-4.735,0
"3,4-Dichlorophenol",1,163.00300000000001,1,1,0,20.23,-1.25,1
Cypermethrin,1,416.30400000000014,0,3,6,59.32000000000001,-8.017000000000001,0
Benzoxazole,2,119.12299999999998,0,2,0,26.03,-1.16,1
1-Pentanol,1,88.14999999999999,1,0,3,20.23,-0.6,1
"N,N-Diethylaniline",1,149.237,0,1,3,3.24,-3.03,0
"1,3-Difluorobenzene",1,114.094,0,1,0,0,-2,1
3-chloropropionitrile,1,89.525,0,0,1,23.79,-0.29,1
t-Pentylbenzene,1,148.249,0,1,1,0,-4.15,0
5-Ethyl-5-phenylbarbital,1,232.239,2,2,2,75.27000000000001,-2.322,1
o-Chloroiodobenzene,1,238.45499999999998,0,1,0,0,-3.54,0
Benzotriazole,2,119.127,1,2,0,41.57,-0.78,1
Carbofuran,1,221.25599999999994,1,2,1,47.56,-2.8,1
"2,6-Dimethylphenol",1,122.16699999999999,1,1,0,20.23,-1.29,1
3-Methyl-2-butanol,1,88.14999999999999,1,0,1,20.23,-0.18,1
benzhydrol,1,184.238,1,2,2,20.23,-2.55,1
Methyl decanoate,1,186.295,0,0,8,26.3,-4.69,0
Dicapthon,1,297.656,0,1,5,70.83000000000001,-4.31,0
1-Bromo-2-methylpropane,1,137.01999999999998,0,0,1,0,-2.43,1
Iodoethane,1,155.966,0,0,0,0,-1.6,1
Pirimicarb,1,238.29099999999997,0,1,2,58.56000000000001,-1.95,1
1-Bromohexane,1,165.074,0,0,4,0,-3.81,0
2-Methylpentane,1,86.178,0,0,2,0,-3.74,0
Tetrafluthrin,1,418.7360000000001,0,2,4,26.3,-7.321000000000001,0
Metolachlor,1,283.7989999999999,0,1,6,29.54,-2.73,1
nifuroxime,1,156.09699999999998,1,1,2,88.87,-2.19,1
Fluvalinate,1,502.9200000000002,1,3,8,71.35,-8.003,0
Amitrole,1,84.082,2,1,0,67.59,0.522,1
Tribromomethane,1,252.731,0,0,0,0,-1.91,1
Trichlorfon,1,257.437,1,0,3,55.760000000000005,-0.22,1
Phosalone,1,367.8160000000001,0,2,7,53.6,-5.233,0
Phenylmethanol,1,108.13999999999997,1,1,1,20.23,-0.4,1
Coumatetralyl,1,292.33400000000006,1,4,1,50.44,-2.84,1
4-Bromophenol,1,173.00900000000001,1,1,0,20.23,-1.09,1
2-Bromopropane,1,122.993,0,0,0,0,-1.59,1
"2,2,4-Trimethylpentane",1,114.23199999999999,0,0,1,0,-4.74,0
"1,3,5-Trinitrobenzene",1,213.10499999999996,0,1,3,129.42000000000002,-2.89,0
Nimetazepam,1,295.29800000000006,0,3,2,75.81,-3.7960000000000003,0
Propane,1,44.096999999999994,0,0,0,0,-1.94,1
Minoxidil,1,209.25299999999996,2,2,1,95.10999999999999,-1.989,1
1-aminoacridine,1,194.23700000000002,1,3,0,38.91,-4.22,0
Benzo(k)fluoranthene,2,252.31599999999997,0,5,0,0,-8.49,0
Dicofol,1,370.49,1,2,2,20.23,-5.666,0
Acenapthene,2,154.21199999999996,0,3,0,0,-4.63,0
Dialifos,1,393.85400000000016,0,2,8,55.84,-6.34,0
"1,4-Dibromobenzene",1,235.90599999999998,0,1,0,0,-4.07,0
Methazole,1,261.064,0,2,1,57.14,-2.82,1
p-Phenylphenol,1,170.211,1,2,1,20.23,-3.48,0
pyracarbolid,1,217.26800000000003,1,2,2,38.33,-2.56,1
Ethyl vinyl ether,1,72.10700000000001,0,0,2,9.23,-0.85,1
1-Butyne,1,54.09199999999999,0,0,0,0,-1.24,1
4-methoxypteridine,1,162.15200000000002,0,2,1,60.790000000000006,-1.11,1
3-Methyl-3-heptanol,1,130.23099999999997,1,0,4,20.23,-1.6,1
"1,4-Dichlorobenzene",1,147.00400000000002,0,1,0,0,-3.27,0
3-Ethanoyloxymethylphenytoin,1,324.33600000000007,1,3,4,75.71,-4.47,0
"Sparsomycin (3,8mg/ml)",1,361.4450000000001,4,1,8,132.11999999999998,-1.9809999999999999,1
3-methylindole,1,131.17799999999997,1,2,0,15.79,-2.42,1
2-methoxypteridine,1,162.152,0,2,1,60.790000000000006,-1.11,1
Dioxacarb,1,223.22799999999995,1,2,2,56.790000000000006,-1.57,1
isocarbamid,1,185.22699999999998,2,1,2,61.440000000000005,-2.15,1
Acetonitrile,1,41.053,0,0,0,23.79,0.26,1
Fenoxycarb,1,301.34200000000004,1,2,7,56.790000000000006,-4.7,0
acetyl sulfisoxazole,1,293.34800000000007,1,2,3,89.43,-3.59,0
"1,1,1,2-Tetrachloroethane",1,167.85,0,0,0,0,-2.18,1
1-Butanol,1,74.12299999999999,1,0,2,20.23,0,1
Siduron,1,232.32700000000003,2,2,2,41.13,-4.11,0
"1,3,5-Trichlorobenzene",1,181.449,0,1,0,0,-4.48,0
Furfural,1,96.08499999999998,0,1,1,30.21,-0.1,1
3-Methylbutan-1-ol,1,88.14999999999999,1,0,2,20.23,-0.51,1
piperonal,1,150.13299999999998,0,2,1,35.53,-1.63,1
2-Methylpropene,1,56.108000000000004,0,0,0,0,-2.33,1
Benzaldehyde,1,106.12399999999997,0,1,1,17.07,-1.19,1
"2,3-Dimethyl-1,3-Butadiene",1,82.146,0,0,1,0,-2.4,1
Benfuracarb,1,410.53600000000023,0,2,8,68.31,-4.71,0
RTI 10,1,226.235,0,3,0,42.43,-3.6719999999999997,0
Fluorene ,2,166.22299999999998,0,3,0,0,-5,0
Methylcyclohexane ,1,98.18900000000001,0,1,0,0,-3.85,0
sulfaguanidine,1,214.25,4,1,2,122.05999999999999,-1.99,1
Methylparaben,1,152.149,1,1,1,46.53,-1.827,1
2-Methyltetrahydrofurane,1,86.134,0,1,0,9.23,0.11,1
Santonin,1,246.30599999999995,0,3,0,43.370000000000005,-3.09,0
Salicin,1,286.28,5,2,4,119.61000000000001,-0.85,1
1-Iodopropane,1,169.993,0,0,1,0,-2.29,1
Ametryn,1,227.337,2,1,5,62.730000000000004,-3.04,0
1-Propanol,1,60.096,1,0,1,20.23,0.62,1
Hydroxyprogesterone-17a,1,330.4680000000001,1,4,1,54.37,-3.8169999999999997,0
2-Pentanol,1,88.14999999999999,1,0,2,20.23,-0.29,1
benzoin,1,212.248,1,2,3,37.3,-2.85,1
"2,4-Dimethylphenol",1,122.16699999999999,1,1,0,20.23,-1.19,1
m-Chloronitrobenzene ,1,157.55599999999998,0,1,1,43.14,-2.77,1
ampyrone,1,203.245,1,2,1,52.95,-0.624,1
"2,2',4,5'-PCB",1,291.99199999999996,0,2,1,0,-6.57,0
"Hexachloro-1,3-butadiene",1,260.762,0,0,1,0,-4.92,0
Terbutryn,1,241.364,2,1,4,62.730000000000004,-4,0
3-Methyl-2-pentanol,1,102.17699999999999,1,0,3,20.23,-0.71,1
2-methylpteridine,1,146.153,0,2,0,51.56,-0.12,1
Danazol,1,337.4630000000001,1,5,0,46.260000000000005,-5.507000000000001,0
1-Iodobutane,1,184.01999999999998,0,0,2,0,-2.96,0
2-Bromonapthalene,1,207.07,0,2,0,0,-4.4,0
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",1,780.9490000000001,6,8,7,203.05999999999997,-4.081,0
Benzyltrifluoride,1,146.111,0,1,0,0,-2.51,1
Dihexyl phthalate,1,334.45600000000024,0,1,12,52.60000000000001,-6.144,0
Dibenzothiophene,2,184.263,0,3,0,0,-4.38,0
"2,3',4,4'-PCB",1,326.437,0,2,1,0,-7.8,0
"2,2',3,3',4,4'-PCB",1,360.88200000000006,0,2,1,0,-8.01,0
Warfarin,1,308.3330000000001,1,3,4,67.50999999999999,-3.8930000000000002,0
hydrobenzoin,1,214.264,2,2,3,40.46,-1.93,1
Dimethyl phthalate,1,194.18599999999995,0,1,2,52.60000000000001,-1.66,1
Ethyl octanoate,1,172.26799999999997,0,0,7,26.3,-3.39,0
Diethyldisulfide,1,122.258,0,0,3,0,-2.42,1
"1,2-Diethoxyethane ",1,118.176,0,0,5,18.46,-0.77,1
"1,2,4,5-Tetrachlorobenzene",1,215.894,0,1,0,0,-5.56,0
p-benzidine,1,184.242,2,2,1,52.04,-2.7,1
1-Heptene,1,98.189,0,0,4,0,-3.73,0
Ethirimol,1,209.29299999999998,2,1,5,57.78,-3.028,0
Pentobarbital,1,226.27599999999995,2,1,4,75.27000000000001,-2.39,1
o-Chloroaniline,1,127.574,1,1,0,26.02,-1.52,1
3-Chloroanisole,1,142.58499999999998,0,1,1,9.23,-2.78,1
Pebulate,1,203.35099999999997,0,0,6,20.310000000000002,-3.53,0
Butyl acetate,1,102.13299999999998,0,0,4,26.3,-1.37,1
Prednisolone,1,360.4500000000002,3,4,2,94.83,-3.18,0
Bromodichloromethane,1,163.82899999999998,0,0,0,0,-1.54,1
adrenosterone,1,300.3980000000001,0,4,0,51.21,-3.48,0
p-terphenyl,2,230.31,0,3,2,0,-7.11,0
p-Hydroxybenzaldehyde ,1,122.12299999999998,1,1,1,37.3,-0.96,1
Bromomethane,1,94.939,0,0,0,0,-0.79,1
Perfluidone,1,379.38100000000003,1,2,4,80.31,-3.8,0
Coumachlor,1,342.7780000000001,1,3,4,67.50999999999999,-5.8389999999999995,0
2-Ethylnaphthalene,1,156.22799999999998,0,2,1,0,-4.29,0
5-methylcytosine,1,125.13099999999999,2,1,0,71.77000000000001,-1.4580000000000002,1
"2,3,4,5,6-PCB",1,326.437,0,2,1,0,-7.92,0
benodanil,1,323.133,1,2,2,29.1,-4.21,0
Riboflavin,1,376.36900000000014,5,3,5,161.56,-3.685,0
o-Fluorobromobenzene,1,175,0,1,0,0,-2.7,1
"2,4-Dichlorophenol ",1,163.003,1,1,0,20.23,-1.55,1
Permethrin,1,391.2940000000001,0,3,6,35.53,-6.291,0
piroxicam,1,331.353,2,3,2,99.60000000000001,-4.16,0
3-Propanoyloxymethylphenytoin,1,338.36300000000006,1,3,5,75.71,-4.907,0
Cyclopentane ,2,70.135,0,1,0,0,-2.64,1
o-Toluidine,1,107.156,1,1,0,26.02,-2.21,1
Estragole,1,148.205,0,1,3,9.23,-2.92,0
karbutilate,1,279.34,2,1,2,70.67,-2.93,0
3-Methyl-1-Butene,1,70.135,0,0,1,0,-2.73,1
2-Hydroxypyridine,1,95.101,1,1,0,33.120000000000005,1.02,1
Ethane,1,30.07,0,0,0,0,-1.36,1
"1,2-Dichlorobenzene",1,147.00399999999996,0,1,0,0,-3.05,0
mercaptobenzothiazole,1,167.25799999999998,1,2,0,12.89,-3.18,0
"2,2',3,3',4,4',5,5',6,6'-PCB",1,498.66200000000026,0,2,1,0,-11.6,0
Methoxsalen,1,216.19199999999995,0,3,1,52.58,-3.6639999999999997,0
Acetamide,1,59.068,1,0,0,43.09,1.58,1
1-Methylnaphthalene,1,142.201,0,2,0,0,-3.7,0
Napropamide,1,271.36,0,2,5,29.540000000000003,-3.57,0
"3,3-Dimethyl-2-butanol",1,102.17699999999999,1,0,0,20.23,-0.62,1
Methyl pentanoate,1,116.15999999999998,0,0,3,26.3,-1.36,1
Menadione,1,172.18299999999996,0,2,0,34.14,-3.03,0
Phenanthrene,2,178.23399999999998,0,3,0,0,-5.26,0
"2,4-Dimethylpyridine",1,107.15599999999999,0,1,0,12.89,0.38,1
1-Nonanol,1,144.258,1,0,7,20.23,-3.01,0
Dibromomethane,1,173.83499999999998,0,0,0,0,-1.17,1
Dexamethasone,1,392.4670000000002,3,4,2,94.83,-3.59,0
"2,6-Dimethylnaphthalene ",1,156.228,0,2,0,0,-4.89,0
Butylate,1,217.378,0,0,5,20.310000000000002,-3.68,0
nitroglycerin,1,227.08499999999998,0,0,8,157.11,-2.22,1
m-Nitroaniline,1,138.126,1,1,1,69.16,-2.19,1
1-Chlorobutane,1,92.56899999999999,0,0,2,0,-2.03,1
triforine,1,430.9340000000001,2,1,6,64.68,-4.19,0
Fluridone,1,329.32099999999997,0,3,2,22,-4.445,0
6-aminochrysene,1,243.309,1,4,0,26.02,-6.2,0
Estrone,1,270.372,1,4,0,37.3,-3.955,0
RTI 17,1,269.373,0,3,1,19.37,-4.706,0
"1,2-Propylene oxide",1,58.08,0,1,0,12.53,-0.59,1
Nitrazepam,1,281.271,1,3,2,84.6,-3.7960000000000003,0
"1,3-diethylthiourea",1,132.232,2,0,2,24.06,-1.46,1
"2,3,5-Trichlorophenol",1,197.44799999999998,1,1,0,20.23,-2.67,1
Propyl propanoate,1,116.15999999999998,0,0,3,26.3,-1.34,1
Aniline ,1,93.12899999999999,1,1,0,26.02,-0.41,1
"1,5-Dimethlnapthalene",1,156.228,0,2,0,0,-4.678999999999999,0
hydrochlorothiazide,1,297.745,3,2,1,118.35999999999999,-2.63,1
Acenapthylene,2,152.19599999999994,0,3,0,0,-3.96,0
Ethyl butyrate,1,144.21399999999997,0,0,5,26.3,-1.28,1
Atratone,1,211.26899999999998,2,1,5,71.96000000000001,-2.084,1
Benzo(a)pyrene,2,252.31599999999997,0,5,0,0,-8.699,0
Bromoethane,1,108.966,0,0,0,0,-1.09,1
3-Hexyne,1,82.14599999999999,0,0,0,0,-1.99,1
Digitoxin,1,764.9499999999999,5,8,7,182.82999999999998,-5.292999999999999,0
2-Methyl-1-Butene,1,70.13499999999999,0,0,1,0,-2.73,1
8-quinolinol,1,145.16099999999997,1,2,0,33.120000000000005,-2.42,1
"1,2,3,4-Tetrahydronapthalene",2,132.20599999999996,0,2,0,0,-4.37,0
phenolphthalein,1,318.32800000000003,2,4,2,66.76,-2.9,0
"1,3,5-Tribromobenzene",1,314.802,0,1,0,0,-5.6,0
Ronnel,1,321.549,0,1,4,27.69,-5.72,0
methylthiouracil,1,142.18300000000002,2,1,0,48.65,-2.436,1
Eugenol,1,164.204,1,1,3,29.46,-1.56,1
5-Allyl-5-isopropylbarbital,1,210.23299999999998,2,1,3,75.27000000000001,-1.7080000000000002,1
Pyrene,2,202.25599999999997,0,4,0,0,-6.176,0
"1,1-Diethoxyethane ",1,118.176,0,0,4,18.46,-0.43,1
Clomazone,1,239.702,0,2,2,29.54,-2.338,1
2-Butoxyethanol,1,118.17599999999999,1,0,5,29.46,-0.42,1
Quintozene,1,295.336,0,1,1,43.14,-5.82,0
Androsterone,1,290.447,1,4,0,37.3,-4.402,0
Flurochloridone,1,312.118,0,2,2,20.310000000000002,-4.047,0
Quinoline,2,129.16199999999998,0,2,0,12.89,-1.3,1
methyl gallate,1,184.147,3,1,1,86.99000000000001,-1.24,1
fluconazole,1,306.276,1,3,5,81.64999999999999,-1.8,1
Chlorzoxazone,1,169.567,1,2,0,46,-2.8310000000000004,1
"2,2',3,4,4',5',6-PCB",1,395.3270000000001,0,2,1,0,-7.92,0
alloxan,1,142.07,2,1,0,92.34,-1.25,1
"1,3-Dichloropropane",1,112.98700000000001,0,0,2,0,-1.62,1
m-Fluorobromobenzene,1,175,0,1,0,0,-2.67,1
p-Chlorobromobenzene,1,191.45499999999998,0,1,0,0,-3.63,0
"2,3-Dimethylbutane",1,86.178,0,0,1,0,-3.65,0
1-Butene,1,56.108,0,0,1,0,-1.94,1
"2,2',3,4,5,5'-PCB",1,360.88200000000006,0,2,1,0,-7.68,0
cytosine,1,111.104,2,1,0,71.77000000000001,-1.155,1
"1,1,2-Trichlorotrifluoroethane",1,187.37500000000003,0,0,1,0,-3.04,0
Propionitrile,1,55.07999999999999,0,0,0,23.79,0.28,1
"O,P'-DDD",1,320.04600000000005,0,2,3,0,-6.51,0
o-Nitroanisole,1,153.13699999999997,0,1,2,52.37,-1.96,1
Prasterone,1,288.43100000000004,1,4,0,37.3,-4.12,0
Procymidone,1,284.142,0,3,1,37.38,-4.8,0
Benzo[ghi]perylene,2,276.338,0,6,0,0,-9.017999999999999,0
Dinoseb,1,240.21499999999995,1,1,4,106.51000000000002,-3.38,0
meconin,1,196.20199999999997,0,2,2,44.760000000000005,-1.899,1
Glycerol,1,92.09400000000001,3,0,2,60.69,1.12,1
Guaiacol,1,124.13899999999997,1,1,1,29.46,-1.96,1
chlorpyrifos,1,350.591,0,1,6,40.58,-5.67,0
9-Methylanthracene,1,192.261,0,3,0,0,-5.89,0
Antipyrene,1,188.23000000000002,0,2,1,26.93,0.715,1
Methyl butyl ether ,1,88.14999999999999,0,0,3,9.23,-0.99,1
7-methylpteridine,1,146.153,0,2,0,51.56,-0.8540000000000001,1
simazine,1,201.661,2,1,4,62.730000000000004,-4.55,0
"N,N-Dimethylacetamide",1,87.12199999999999,0,0,0,20.310000000000002,1.11,1
Simetryn,1,213.31,0,1,3,45.150000000000006,-2.676,1
Ethylene,1,28.053999999999995,0,0,0,0,-0.4,1
"3,3-Dimethyl-1-butanol",1,102.17699999999999,1,0,1,20.23,-0.5,1
5-Allyl-5-ethylbarbital,1,196.20599999999996,2,1,3,75.27000000000001,-1.614,1
"2,3,4-Trichlorophenol",1,197.448,1,1,0,20.23,-2.67,1
Anisole,1,108.13999999999997,0,1,1,9.23,-1.85,1
chloropropylate,1,339.21800000000013,1,2,4,46.53,-4.53,0
aldosterone,1,360.45000000000005,2,4,3,91.67000000000002,-3.85,0
Difenoxuron,1,286.331,1,2,4,50.800000000000004,-4.16,0
4-Ethyltoluene,1,120.19499999999996,0,1,1,0,-3.11,0
Diisopropylsulfide,1,118.24499999999999,0,0,2,0,-2.24,1
"1,3-Dinitrobenzene",1,168.10799999999995,0,1,2,86.28,-2.29,1
Ethion,1,384.4870000000002,0,0,12,36.92,-5.54,0
probarbital,1,198.22199999999998,2,1,2,75.27000000000001,-2.21,1
cortisone acetate,1,402.48700000000025,1,4,3,97.74000000000001,-4.21,0
Metronidazole,1,171.15599999999998,1,1,3,81.19,-1.22,1
p-Chloroaniline,1,127.574,1,1,0,26.02,-1.66,1
"2,2-Dimethylpentanol",1,116.20399999999998,1,0,3,20.23,-1.52,1
Furane,2,68.07499999999999,0,1,0,13.14,-0.82,1
Methoproptryne,1,271.39,2,1,8,71.96000000000001,-2.928,0
Norea,1,222.33199999999994,1,3,1,32.34,-3.1710000000000003,0
t-Butylbenzene ,1,134.22199999999998,0,1,0,0,-3.66,0
kebuzone,1,322.36400000000003,0,3,5,57.690000000000005,-3.27,0
prednisolone acetate,1,402.48700000000014,2,4,3,100.90000000000002,-4.37,0
Methyl propyl ether ,1,74.12299999999999,0,0,2,9.23,-0.39,1
Isopropyl acetate,1,102.133,0,0,1,26.3,-0.55,1
Bromobenzene,1,157.01,0,1,0,0,-2.55,1
Ethyl-p-hydroxybenzoate ,1,166.176,1,1,2,46.53,-2.35,1
3-Butanoyloxymethylphenytoin,1,352.39000000000004,1,3,6,75.71,-5.071000000000001,0
testosterone propionate,1,344.4950000000001,0,4,2,43.370000000000005,-5.37,0
Coronene,2,300.36000000000007,0,7,0,0,-9.332,0
allopurinol,1,136.114,2,2,0,74.43,-2.266,1
Chloroethylene,1,62.499,0,0,0,0,-1.75,1
diphenamid,1,239.318,0,2,3,20.310000000000002,-2.98,0
Tetrabromomethane,1,331.62699999999995,0,0,0,0,-3.14,0
RTI 22,1,296.374,1,3,2,48.47,-4.871,0
phthalimide,1,147.13299999999998,1,2,0,46.17,-2.61,1
Fenarimol,1,331.202,1,3,3,46.010000000000005,-4.38,0
Methyl benzoate ,1,136.14999999999998,0,1,1,26.3,-1.85,1
1-methyluracil,1,126.115,1,1,0,54.86,-0.807,1
oxyphenbutazone,1,324.38000000000005,1,3,5,60.85000000000001,-3.73,0
"2,2',3,5'-PCB",1,291.9920000000001,0,2,1,0,-6.47,0
Quinethazone,1,289.7440000000001,3,2,2,101.28999999999999,-3.29,0
Diuron,1,233.09799999999998,1,1,1,32.34,-3.8,0
Cyclopentene ,2,68.11900000000001,0,1,0,0,-2.1,1
alloxantin,1,286.156,6,2,1,191,-1.99,1
Nonane,1,128.259,0,0,6,0,-5.88,0
2-Chlorophenol,1,128.558,1,1,0,20.23,-1.06,1
5-Methylchrysene,1,242.321,0,4,0,0,-6.59,0
Phenetole,1,122.16699999999996,0,1,2,9.23,-2.33,1
ethyl cinnamate,1,176.215,0,1,3,26.3,-3,0
Terbacil,1,216.66799999999998,1,1,0,54.86,-2.484,1
Clonazepam,1,315.716,1,3,2,84.6,-3.4989999999999997,0
p-Toluenesulfonamide ,1,171.22099999999998,1,1,1,60.16,-1.74,1
Chlorbufam,1,223.659,1,1,2,38.33,-2.617,1
2-Methylheptane,1,114.23199999999999,0,0,4,0,-5.08,0
Cyhalothrin,1,449.8560000000001,0,3,6,59.32000000000001,-8.176,0
Apazone,1,300.3620000000001,0,3,2,56.220000000000006,-3.5380000000000003,0
Diazepam,1,284.74600000000004,0,3,1,32.67,-3.7539999999999996,0
2-Methyl-3-pentanol,1,102.17699999999999,1,0,2,20.23,-0.7,1
fensulfothion,1,308.36100000000005,0,1,7,44.760000000000005,-2.3,1
borneol,1,154.253,1,2,0,20.23,-2.32,1
Testosterone,1,288.431,1,4,0,37.3,-4.02,0
Heptane,1,100.205,0,0,4,0,-4.53,0
1-Napthol,1,144.17299999999997,1,2,0,20.23,-2.22,1
"cis-1,2-Dimethylcyclohexane",1,112.216,0,1,0,0,-4.3,0
